NCTId,BriefTitle,OverallStatus,StudyType,Phases,Conditions,LeadSponsorName,StartDate,StudyFirstPostDate,LastUpdatePostDate,Timestamp
NCT02421523,Strength Training in Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,University of Florida,2015-05-30,2015-04-20,2019-03-06,2024-10-25T17:03:30.194190
NCT01335295,Safety Study of Flavocoxid in Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,University of Messina,2011-03,2011-04-14,2014-02-03,2024-10-25T17:03:30.194190
NCT05313295,Physical Therapy Treatment on Children and Adolescents With Neurological Pathologies,COMPLETED,INTERVENTIONAL,NA,"Neurologic Disorder, Duchenne, Pediatric Disorder, Sensorimotor Disorder Nos",Universidad de Almeria,2018-11-01,2022-04-06,2023-05-23,2024-10-25T17:03:30.194190
NCT02354781,Clinical Intramuscular Gene Transfer of rAAV1.CMV.huFollistatin344 Trial to Patients With Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,Jerry R. Mendell,2015-01,2015-02-03,2023-10-11,2024-10-25T17:03:30.194190
NCT05559710,Motor Imagery in Duchenne Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Hacettepe University,2022-06-20,2022-09-29,2023-12-05,2024-10-25T17:03:30.194190
NCT04708314,An Open-Label Study of Golodirsen in Non-Ambulant Patients With Duchenne Muscular Dystrophy,TERMINATED,INTERVENTIONAL,PHASE4,Duchenne Muscular Dystrophy,"Rare Disease Research, LLC",2020-10-31,2021-01-13,2021-05-17,2024-10-25T17:03:30.194190
NCT04240314,AAV9 U7snRNA Gene Therapy to Treat Boys With DMD Exon 2 Duplications.,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,Megan Waldrop,2020-01-15,2020-01-27,2023-02-09,2024-10-25T17:03:30.194190
NCT03589612,Regression of Hamstring Flexibility and Performance in Children With Duchenne Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Performance, Flexibility",Hacettepe University,2018-03-08,2018-07-18,2019-09-30,2024-10-25T17:03:30.194190
NCT01000012,Compassionate Use of the Becker Expander/Breast Implant,NO_LONGER_AVAILABLE,EXPANDED_ACCESS,,Breast Reconstruction,"Mentor Worldwide, LLC",,2009-10-22,2013-10-29,2024-10-25T17:03:30.194190
NCT04337112,The Expanded Access Use of Viltolarsen in Duchenne Muscular Dystrophy With Confirmed Exon 53 Amenable Mutation,APPROVED_FOR_MARKETING,EXPANDED_ACCESS,,"Muscular Dystrophy, Duchenne, DMD","NS Pharma, Inc.",,2020-04-07,2020-08-18,2024-10-25T17:03:30.194190
NCT03779646,Bisoprolol in DMD Early Cardiomyopathy,UNKNOWN,INTERVENTIONAL,"PHASE2, PHASE3","Duchenne Muscular Dystrophy, Cardiomyopathy, Dilated",Peking Union Medical College Hospital,2019-01-16,2018-12-19,2022-09-28,2024-10-25T17:03:30.194190
NCT06641895,Evaluation of the Safety and Efficacy of BBM-D101 to Treat Patients With Duchenne Muscular Dystrophy,RECRUITING,INTERVENTIONAL,EARLY_PHASE1,Duchenne Muscular Dystrophy (DMD),Shanghai Jiao Tong University School of Medicine,2024-07-25,2024-10-15,2024-10-15,2024-10-25T17:03:30.194190
NCT05244395,Development of a New Instrument to Evaluate Gait Characteristics of Individuals With Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,NA,"Duchenne Muscular Dystrophy, Gait Disorders in Children, Gait Disorders, Neurologic",Hacettepe University,2020-02-10,2022-02-17,2022-03-07,2024-10-25T17:03:30.194190
NCT01521546,Eplerenone for Subclinical Cardiomyopathy in Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,Subha Raman,2012-02,2012-01-30,2016-11-08,2024-10-25T17:03:30.194190
NCT02515669,"Study of an Investigational Drug, RO7239361 (BMS-986089), in Ambulatory Boys With DMD",TERMINATED,INTERVENTIONAL,"PHASE1, PHASE2",Muscular Dystrophy (DMD),Hoffmann-La Roche,2015-12-02,2015-08-05,2020-11-04,2024-10-25T17:03:30.194190
NCT01856868,Use of (-)-Epicatechin in the Treatment of Becker Muscular Dystrophy (Pilot Study),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Becker Muscular Dystrophy,"Craig McDonald, MD",2013-05,2013-05-17,2021-12-22,2024-10-25T17:03:30.194190
NCT01168908,Revatio for Heart Disease in Duchenne Muscular Dystrophy and Becker Muscular Dystrophy,TERMINATED,INTERVENTIONAL,PHASE2,"Duchenne Muscular Dystrophy, Becker Muscular Dystrophy","Hugo W. Moser Research Institute at Kennedy Krieger, Inc.",2010-09,2010-07-23,2019-02-26,2024-10-25T17:03:30.194190
NCT05938023,A Study of ATL1102 or Placebo in Participants With Non-ambulatory Duchenne Muscular Dystrophy,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,Duchenne Muscular Dystrophy,Percheron Therapeutics,2023-05-18,2023-07-10,2024-05-30,2024-10-25T17:03:30.194190
NCT02056808,A Phase 1b Study of SMT C1100 in Subjects With Duchenne Muscular Dystrophy (DMD),COMPLETED,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,Summit Therapeutics,2013-11,2014-02-06,2014-08-27,2024-10-25T17:03:30.194190
NCT02168114,Magnetic Resonance and Optical Imaging of Dystrophic and Damaged Muscle,COMPLETED,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,University of Florida,2014-07,2014-06-20,2018-01-12,2024-10-25T17:03:30.194190
NCT03490214,Non-invasive Imaging of Muscle Structure in Duchenne Muscular Dystrophy Using Multispectral Optoacoustic Tomography,COMPLETED,INTERVENTIONAL,NA,"Duchenne Muscular Dystrophy, Muscular Dystrophies, Muscular Dystrophy, Duchenne",University of Erlangen-Nürnberg Medical School,2018-06-01,2018-04-06,2019-12-09,2024-10-25T17:03:30.194190
NCT06147414,Development of Non-Invasive Prenatal Diagnosis for Single Gene Disorders,NOT_YET_RECRUITING,OBSERVATIONAL,,"Invasive PreNatal Diagnosis in a Context of Family History of Single-gene Disorders, Including, Sickle Cell Disease, Cystic Fibrosis, Fragile X Syndrome, Proximal Spinal Muscular Atrophy, Myotonic Dystrophy, Muscular Dystrophy, Duchenne, Muscular Dystrophy, Becker, Neurofibromatosis-Noonan Syndrome, Huntington Disease, Hemophilia A, Hemophilia B, MODY2 Diabetes, X-Linked Hydrocephalus, Autosomal Recessive Polycystic Kidney Disease",Assistance Publique - Hôpitaux de Paris,2024-04,2023-11-27,2024-02-28,2024-10-25T17:03:30.194190
NCT05657938,Evaluation of Home Based Assessments on Participants With DMD,COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Solid Biosciences Inc.,2022-10-13,2022-12-20,2023-08-14,2024-10-25T17:03:30.194190
NCT06565208,First in Human SAD/MAD Safety and PK Study With Adult DMD Safety and PK Cohort,RECRUITING,INTERVENTIONAL,EARLY_PHASE1,Duchenne Muscular Dystrophy,"Satellos Bioscience, Inc.",2024-08-21,2024-08-21,2024-09-27,2024-10-25T17:03:30.194190
NCT01207908,Safety and Efficacy Study of IGF-1 in Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,"Children's Hospital Medical Center, Cincinnati",2010-11,2010-09-23,2021-01-20,2024-10-25T17:03:30.194190
NCT05016908,Extracellular RNA Biomarkers of Duchenne Muscular Dystrophy,RECRUITING,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Massachusetts General Hospital,2019-11-30,2021-08-23,2023-10-12,2024-10-25T17:03:30.194190
NCT05274555,Reliability and Validity of the Turkish Version of the Upper Limb Short Questionnaire in Duchenne Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Upper Extremity Problem",Dokuz Eylul University,2019-03-27,2022-03-10,2022-06-09,2024-10-25T17:03:30.194190
NCT03167255,Extension Study of NS-065/NCNP-01 in Boys With Duchenne Muscular Dystrophy (DMD),COMPLETED,INTERVENTIONAL,PHASE2,Duchenne Muscular Dystrophy,"NS Pharma, Inc.",2017-07-06,2017-05-25,2022-12-28,2024-10-25T17:03:30.194190
NCT01128855,"A Double-blind, Escalating Dose, Randomized, Placebo-controlled Study Assessing PK, Safety, Tolerability in Non-ambulant DMD Subjects",COMPLETED,INTERVENTIONAL,PHASE1,Muscular Dystrophies,GlaxoSmithKline,2010-07-12,2010-05-24,2017-07-18,2024-10-25T17:03:30.194190
NCT01491555,Electrical Impedance Myography and Ultrasound as Biomarkers of Duchenne Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Boston Children's Hospital,2012-04,2011-12-14,2016-03-24,2024-10-25T17:03:30.194190
NCT03375255,"A Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of a Single Dose of SRP-5051 (Vesleteplirsen) in Patients With Duchenne Muscular Dystrophy (DMD)",COMPLETED,INTERVENTIONAL,PHASE1,"Muscular Dystrophy, Duchenne","Sarepta Therapeutics, Inc.",2018-02-05,2017-12-18,2022-07-06,2024-10-25T17:03:30.194190
NCT03372655,Prognostic Factors Affecting Duchenne Muscular Dystrophy,UNKNOWN,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Assiut University,2018-01-01,2017-12-14,2017-12-14,2024-10-25T17:03:30.194190
NCT01066455,Cardiac Outcome Measures in Children With Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Limb Girdle Muscular Dystrophy",Cooperative International Neuromuscular Research Group,2010-01,2010-02-10,2013-01-11,2024-10-25T17:03:30.194190
NCT02834650,Validating Cardiac MRI Biomarkers and Genotype-Phenotype Correlations for DMD,COMPLETED,INTERVENTIONAL,NA,"Muscular Dystrophy, Duchenne",Stanford University,2017-02-01,2016-07-15,2022-05-10,2024-10-25T17:03:30.194190
NCT02835079,Treatment Effect of Tamoxifen on Patients With DMD,COMPLETED,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,Hadassah Medical Organization,2016-11,2016-07-15,2022-07-25,2024-10-25T17:03:30.194190
NCT02340923,"A Device for Rapid, Painless, Bedside Muscle Evaluation of Children",COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,"Skulpt, Inc.",2015-01,2015-01-19,2016-08-11,2024-10-25T17:03:30.194190
NCT05409079,Schulze Muscular Dystrophy Ability Clinical Study,RECRUITING,INTERVENTIONAL,NA,"Muscular Dystrophies, Spinal Muscular Atrophy, Duchenne Muscular Dystrophy, Limb Girdle Muscular Dystrophy, FSHD, Cerebral Palsy, Becker Muscular Dystrophy",AbiliTech Medical Inc.,2022-05-26,2022-06-08,2022-12-05,2024-10-25T17:03:30.194190
NCT02891434,Analysis of a Virtual Reality Task in Patients With Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,University of Sao Paulo,2016-02,2016-09-07,2017-04-11,2024-10-25T17:03:30.194190
NCT00033813,KUL0401: An Open-label Pilot Study of Oxatomide in Steroid-Naive Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE2,"Muscular Dystrophy, Duchenne",Cooperative International Neuromuscular Research Group,2002-01,2002-04-11,2014-03-10,2024-10-25T17:03:30.194190
NCT06079736,A Study Of PGN-EDO51 In Participants With Duchenne Muscular Dystrophy Amenable To Exon 51-Skipping Treatment,RECRUITING,INTERVENTIONAL,PHASE2,Duchenne Muscular Dystrophy,PepGen Inc,2024-01-08,2023-10-12,2024-05-13,2024-10-25T17:03:30.194190
NCT04060199,Study to Assess the Efficacy and Safety of Viltolarsen in Ambulant Boys With DMD (RACER53),COMPLETED,INTERVENTIONAL,PHASE3,Duchenne Muscular Dystrophy,"NS Pharma, Inc.",2020-04-14,2019-08-19,2023-10-27,2024-10-25T17:03:30.194190
NCT05549999,"Cultural Adaptation, Validity, and Reliability of the Turkish Version of North Star Ambulatory Assessment",COMPLETED,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Ambulation Difficulty, Ambulation Disorder, Neurologic",Hacettepe University,2022-11-01,2022-09-22,2023-07-28,2024-10-25T17:03:30.194190
NCT05338099,Determine the Safety and Dose of EN001 in Patients With Duchenne Muscular Dystrophy(DMD),COMPLETED,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,ENCell,2022-01-18,2022-04-20,2024-08-30,2024-10-25T17:03:30.194190
NCT02195999,Assessment of Cardiopulmonary Function in Duchenne Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,"Muscular Dystrophy, Duchenne",University of Florida,2013-12,2014-07-21,2019-07-08,2024-10-25T17:03:30.194190
NCT03038399,Long-term Extension Study to Assess Vamorolone in Boys With Duchenne Muscular Dystrophy (DMD),COMPLETED,INTERVENTIONAL,PHASE2,Duchenne Muscular Dystrophy,"ReveraGen BioPharma, Inc.",2017-02-02,2017-01-31,2021-05-20,2024-10-25T17:03:30.194190
NCT03532542,An Extension Study to Evaluate Casimersen or Golodirsen in Patients With Duchenne Muscular Dystrophy,TERMINATED,INTERVENTIONAL,PHASE3,Duchenne Muscular Dystrophy,"Sarepta Therapeutics, Inc.",2018-08-02,2018-05-22,2024-09-19,2024-10-25T17:03:30.194190
NCT02310906,Phase I/II Study of SRP-4053 in DMD Patients,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,"Sarepta Therapeutics, Inc.",2015-01-13,2014-12-08,2020-10-19,2024-10-25T17:03:30.194190
NCT01286870,Becker Continued Access Study,TERMINATED,INTERVENTIONAL,PHASE4,Breast Reconstruction,"Mentor Worldwide, LLC",2009-06-01,2011-01-31,2019-03-06,2024-10-25T17:03:30.194190
NCT05195775,Tadalafil as Adjuvant Therapy for DMD,RECRUITING,INTERVENTIONAL,"PHASE2, PHASE3",Duchenne Muscular Dystrophy,University of Florida,2021-12-14,2022-01-19,2024-01-31,2024-10-25T17:03:30.194190
NCT03951675,The Burden of Access in Duchenne Muscular Dystrophy in the US,COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,University of Florida,2019-06-18,2019-05-15,2020-08-06,2024-10-25T17:03:30.194190
NCT01359670,Tadalafil and Sildenafil for Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,Duchenne Muscular Dystrophy,Cedars-Sinai Medical Center,2011-05,2011-05-25,2020-01-14,2024-10-25T17:03:30.194190
NCT04335942,Characterization of the Postural Habits of Wheelchair Users Analysis of the Acceptability of International Recommendations in the Prevention of Pressure Sores Risk by Using a Connected Textile Sensor,COMPLETED,INTERVENTIONAL,NA,"Duchenne Muscular Dystrophy, Spinal Muscular Atrophy",Assistance Publique - Hôpitaux de Paris,2021-09-30,2020-04-07,2023-08-31,2024-10-25T17:03:30.194190
NCT06402942,Gamified Occupational Therapy for Adolescents With Duchenne Muscular Dystrophy,RECRUITING,INTERVENTIONAL,NA,"Duchenne Muscular Dystrophy, Gamification, Occupational Therapy",Başak Çağla Arslan,2024-09-01,2024-05-07,2024-07-18,2024-10-25T17:03:30.194190
NCT01519349,Follistatin Gene Transfer to Patients With Becker Muscular Dystrophy and Sporadic Inclusion Body Myositis,COMPLETED,INTERVENTIONAL,PHASE1,"Becker Muscular Dystrophy, Sporadic Inclusion Body Myositis",Nationwide Children's Hospital,2012-01,2012-01-26,2023-10-02,2024-10-25T17:03:30.194190
NCT02789059,Muscle Oxygenation in Effort in Neuromuscular Diseases,UNKNOWN,INTERVENTIONAL,NA,Neuromuscular Diseases,"University Hospital, Lille",2015-07-02,2016-06-02,2017-05-19,2024-10-25T17:03:30.194190
NCT06379906,"Upper Extremity Muscle Strength, Balance and Functional Skills in DMD",COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Halic University,2023-11-10,2024-04-23,2024-04-25,2024-10-25T17:03:30.194190
NCT06103006,Remote Physiotherapy to Protect Physical Health in Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,Lokman Hekim Üniversitesi,2021-01-01,2023-10-26,2023-10-27,2024-10-25T17:03:30.194190
NCT01557400,"Study of Ataluren for Previously Treated Participants With Nonsense Mutation Duchenne/Becker Muscular Dystrophy (nmDBMD) in Europe, Israel, Australia, and Canada",COMPLETED,INTERVENTIONAL,PHASE3,"Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Dystrophinopathy",PTC Therapeutics,2012-05-20,2012-03-19,2020-11-25,2024-10-25T17:03:30.194190
NCT06579859,Development of a Registry to Assess Natural History in Duchenne Muscular Dystrophy,NOT_YET_RECRUITING,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2024-11-01,2024-08-30,2024-08-30,2024-10-25T17:03:30.194190
NCT06579352,Expanded Access Study of UC-MSC in DMD Patients,AVAILABLE,EXPANDED_ACCESS,,Duchenne Muscular Dystrophy,MED Institute Inc.,,2024-08-30,2024-08-30,2024-10-25T17:03:30.194190
NCT01712152,Myocardial Involvement in Carriers of Duchenne Muscular Dystrophy: An MRI-study,COMPLETED,OBSERVATIONAL,,Carrier of Duchenne Muscular Dystrophy,Hospital Rudolfstiftung,2012-10,2012-10-23,2016-10-04,2024-10-25T17:03:30.194190
NCT00468832,Longitudinal Study of the Natural History of Duchenne Muscular Dystrophy (DMD),UNKNOWN,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Cooperative International Neuromuscular Research Group,2005-12,2007-05-03,2016-04-21,2024-10-25T17:03:30.194190
NCT01995032,L-citrulline and Metformin in Duchenne's Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE3,Duchenne's Muscular Dystrophy (DMD),"University Hospital, Basel, Switzerland",2013-10,2013-11-26,2018-04-19,2024-10-25T17:03:30.194190
NCT05029232,Comprehensive Study of Duchenne Muscular Dystrophy at Sohag University Hospital,UNKNOWN,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,Sohag University,2021-10-01,2021-08-31,2021-08-31,2024-10-25T17:03:30.194190
NCT01422200,Flu Vaccine Study in Neuromuscular Patients 2011,COMPLETED,INTERVENTIONAL,PHASE4,"Duchenne Muscular Dystrophy, Spinal Muscular Atrophy, Congenital Muscular Dystrophy","Children's Hospital Medical Center, Cincinnati",2011-08,2011-08-23,2020-10-19,2024-10-25T17:03:30.194190
NCT02354352,Therapeutic Potential for Aldosterone Inhibition in Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE3,Duchenne Muscular Dystrophy,Ohio State University,2015-03-20,2015-02-03,2019-10-07,2024-10-25T17:03:30.194190
NCT01197300,1 Year Open-label Extension to CZOL446H2337 Safety and Efficacy Trial of Zoledronic Acid Twice Yearly in Osteoporotic Children Treated With Glucocorticoids,COMPLETED,INTERVENTIONAL,PHASE3,Osteoporosis,Novartis Pharmaceuticals,2010-10-25,2010-09-09,2019-09-20,2024-10-25T17:03:30.194190
NCT03836300,Parent and Infant Inter(X)Action Intervention (PIXI),ENROLLING_BY_INVITATION,INTERVENTIONAL,NA,"Fragile X Syndrome, Angelman Syndrome, Prader-Willi Syndrome, Dup15Q Syndrome, Duchenne Muscular Dystrophy, Phelan-McDermid Syndrome, Rett Syndrome, Smith Magenis Syndrome, Williams Syndrome, Turner Syndrome, Klinefelter Syndrome, Chromosome 22q11.2 Deletion Syndrome, Tuberous Sclerosis, Down Syndrome",RTI International,2018-11-30,2019-02-11,2024-05-01,2024-10-25T17:03:30.194190
NCT01386515,The Role of Family Functioning in Promoting Adaptation in Siblings of Individuals With Duchenne Muscular Dystrophy (DMD),TERMINATED,OBSERVATIONAL,,"Genetic Disease, Communication",National Human Genome Research Institute (NHGRI),2011-06-07,2011-07-01,2019-12-12,2024-10-25T17:03:30.194190
NCT04193085,Wearable Technology to Assess Gait Function in SMA and DMD,COMPLETED,OBSERVATIONAL,,"Spinal Muscular Atrophy Type 3, Duchenne Muscular Dystrophy",Columbia University,2019-11-25,2019-12-10,2024-09-23,2024-10-25T17:03:30.194190
NCT05110885,"Public AttitudesTowards SMA and DMD Awareness, Newborn and Carrier Screening and Physiotherapy Practices",UNKNOWN,OBSERVATIONAL,,"Spinal Muscular Atrophy, Duchenne Muscular Dystrophy, Healthy Individuals",Bahçeşehir University,2021-11,2021-11-08,2021-11-10,2024-10-25T17:03:30.194190
NCT04281485,Study to Evaluate the Safety and Efficacy of PF-06939926 for the Treatment of Duchenne Muscular Dystrophy,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,Duchenne Muscular Dystrophy,Pfizer,2020-11-05,2020-02-24,2024-09-19,2024-10-25T17:03:30.194190
NCT05160415,A Study of EDG-5506 in Adult Males With Becker Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE1,Becker Muscular Dystrophy,"Edgewise Therapeutics, Inc.",2021-12-28,2021-12-16,2024-06-14,2024-10-25T17:03:30.194190
NCT06445985,Hydrotherapy in Duchenne Muscular Dystrophy (DMD),RECRUITING,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,Lancashire Teaching Hospitals NHS Foundation Trust,2022-11-02,2024-06-06,2024-06-06,2024-10-25T17:03:30.194190
NCT03443115,Duchenne Muscular Dystrophy Heart Study,UNKNOWN,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Duchenne Muscular Dystrophy-Associated Dilated Cardiomyopathy",Hôpital Cochin,2017-06-27,2018-02-22,2018-02-22,2024-10-25T17:03:30.194190
NCT02516085,Improved Muscle Function in Duchenne Muscular Dystrophy Through L-Arginine and Metformin,COMPLETED,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,"University Hospital, Basel, Switzerland",2012-01,2015-08-05,2015-08-07,2024-10-25T17:03:30.194190
NCT02432885,Myocardial Fibrosis Progression in Duchenne and Becker Muscular Dystrophy - ACE Inhibitor Therapy Trial,COMPLETED,INTERVENTIONAL,PHASE3,"Myocardial Fibrosis, Muscular Dystrophies",InCor Heart Institute,2009-06,2015-05-04,2015-05-04,2024-10-25T17:03:30.194190
NCT01037309,Phase I/II Study of PRO044 in Duchenne Muscular Dystrophy (DMD),COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,BioMarin Pharmaceutical,2009-12,2009-12-23,2018-10-16,2024-10-25T17:03:30.194190
NCT03400852,A Study to Assess the Efficacy and Safety of MNK-1411 in Duchenne Muscular Dystrophy,TERMINATED,INTERVENTIONAL,PHASE2,"Muscular Dystrophy, Duchenne",Mallinckrodt ARD LLC,2018-07-27,2018-01-17,2021-03-16,2024-10-25T17:03:30.194190
NCT06093100,Wearable Technology to Evaluate Hyperglycemia and HRV in DMD - Longitudinal Aim,RECRUITING,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Vanderbilt University Medical Center,2024-07-10,2023-10-23,2024-09-19,2024-10-25T17:03:30.194190
NCT00750685,Study of the Mentor Becker Expander/Breast Implant in Subjects Who Are Undergoing Primary Breast Reconstruction,TERMINATED,INTERVENTIONAL,PHASE3,Breast Reconstruction,"Mentor Worldwide, LLC",2007-03-01,2008-09-10,2018-05-08,2024-10-25T17:03:30.194190
NCT01981915,Optimum Insufflation Capacity in NMD,COMPLETED,INTERVENTIONAL,NA,"Duchenne Muscular Dystrophy, Spinal Muscular Atrophy, Chronic Respiratory Insufficiency",Universität Duisburg-Essen,2011-01,2013-11-13,2013-11-13,2024-10-25T17:03:30.194190
NCT06366815,phenotypeS in Non Ambulant Duchenne Muscular Dystrophy,RECRUITING,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Natural History, Motor Function; Retardation",Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2022-08-30,2024-04-16,2024-10-04,2024-10-25T17:03:30.194190
NCT02255552,Study of Eteplirsen in DMD Patients,COMPLETED,INTERVENTIONAL,PHASE3,Duchenne Muscular Dystrophy (DMD),"Sarepta Therapeutics, Inc.",2014-11-17,2014-10-02,2021-01-25,2024-10-25T17:03:30.194190
NCT02251600,A Pharmacokinetic Study of Oral Deflazacort in Children and Adolescent Subjects With Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,PTC Therapeutics,2014-12,2014-09-29,2017-08-18,2024-10-25T17:03:30.194190
NCT05693142,AFFINITY DUCHENNE: RGX-202 Gene Therapy in Participants With Duchenne Muscular Dystrophy (DMD),RECRUITING,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,REGENXBIO Inc.,2023-01-04,2023-01-20,2024-07-23,2024-10-25T17:03:30.194190
NCT06643442,Repurposing Empagliflozin for DMD-associated Cardiomyopathy in Children 6-18 Years of Age,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE2,DMD-associated Dilated Cardiomyopathy,Sebastiano Lava,2025-02-01,2024-10-16,2024-10-16,2024-10-25T17:03:30.194190
NCT05514249,Treatment of a Single Patient With CRD-TMH-001,UNKNOWN,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,"Cure Rare Disease, Inc",2022-08-31,2022-08-24,2022-09-01,2024-10-25T17:03:30.194190
NCT03368742,Microdystrophin Gene Transfer Study in Adolescents and Children With DMD,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,Solid Biosciences Inc.,2017-12-06,2017-12-11,2024-10-15,2024-10-25T17:03:30.194190
NCT01153932,Phase II Doubleblind Exploratory Study of GSK2402968 in Ambulant Subjects With Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE2,Muscular Dystrophies,GlaxoSmithKline,2010-09,2010-06-30,2014-08-25,2024-10-25T17:03:30.194190
NCT03057002,UTSW HP [13-C] Pyruvate Injection in HCM,RECRUITING,OBSERVATIONAL,,"Cardiomyopathy, Hypertrophic, Dilated Cardiomyopathy, Duchenne Muscular Dystrophy, Cardiac Sarcoidosis, Becker Muscular Dystrophy, Heart Failure With Preserved Ejection Fraction, Heart Failure With Reduced Ejection Fraction",University of Texas Southwestern Medical Center,2018-05-01,2017-02-17,2024-02-05,2024-10-25T17:03:30.194190
NCT01865084,A Study of Tadalafil for Duchenne Muscular Dystrophy,TERMINATED,INTERVENTIONAL,PHASE3,"Muscular Dystrophy, Duchenne",Eli Lilly and Company,2013-09,2013-05-30,2019-10-09,2024-10-25T17:03:30.194190
NCT03335384,Relationship Between PFTs and Pdi in DMD,WITHDRAWN,INTERVENTIONAL,NA,Duchenne Muscular Dystrophy,University of Minnesota,2018-05-01,2017-11-07,2018-05-14,2024-10-25T17:03:30.194190
NCT01027884,Phase III Study of Idebenone in Duchenne Muscular Dystrophy (DMD),COMPLETED,INTERVENTIONAL,PHASE3,"Muscular Dystrophy, Duchenne, Ambulatory Care",Santhera Pharmaceuticals,2009-07,2009-12-09,2015-10-19,2024-10-25T17:03:30.194190
NCT02420379,Safety Study of Eteplirsen to Treat Early Stage Duchenne Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE2,Duchenne Muscular Dystrophy (DMD),"Sarepta Therapeutics, Inc.",2015-06-30,2015-04-17,2021-01-25,2024-10-25T17:03:30.194190
NCT03362502,A Study to Evaluate the Safety and Tolerability of PF-06939926 Gene Therapy in Duchenne Muscular Dystrophy,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1,Duchenne Muscular Dystrophy,Pfizer,2018-01-23,2017-12-05,2024-09-20,2024-10-25T17:03:30.194190
