NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT06066580,Open-Label Extension of EDG-5506 in Participants with Becker Muscular Dystrophy,MESA,ENROLLING_BY_INVITATION,"EDG-5506-203 MESA is an open-label extension study to assess the long-term effect of sevasemten (EDG-5506) on safety, biomarkers, and functional measures in adults and adolescents with Becker muscular dystrophy",False,Becker Muscular Dystrophy,DRUG,Sevasemten,"Number of adverse events in those treated with sevasemten, Severity of adverse events in those treated with sevasemten","Incidence of treatment-emergent abnormal clinical chemistry laboratory test results, Incidence of treatment-emergent abnormal hematology laboratory test results","Edgewise Therapeutics, Inc.","Medpace, Inc.",MALE,,,"CHILD, ADULT, OLDER_ADULT",PHASE2,200,INDUSTRY,INTERVENTIONAL,TREATMENT,EDG-5506-203,,2023-11-02,2028-03,2028-03,2023-10-04,,2024-10-24,2024-12-10T07:22:19.264591
NCT03406780,A Study of CAP-1002 in Ambulatory and Non-Ambulatory Patients With Duchenne Muscular Dystrophy,HOPE-2,COMPLETED,HOPE-2 is a double-blind clinical trial evaluating the safety and efficacy of a cell therapy called CAP-1002 in study participants with Duchenne muscular dystrophy (DMD). Non-ambulatory and ambulatory boys and young men who meet eligibility criteria will be randomly assigned to receive either CAP-1002 or placebo every 3 months for a total of 4 doses during a 12-month period.,False,"Muscular Dystrophies, Muscular Dystrophy, Duchenne, Muscular Disorders, Atrophic, Muscular Diseases, Neuromuscular Diseases, Nervous System Diseases, Genetic Diseases, X-Linked, Genetic Diseases, Inborn","BIOLOGICAL, DRUG","CAP-1002, Placebo",Change in the mid-level (elbow) dimension of the Performance of the Upper Limb (PUL),"Change in the mid-level (elbow) dimension of the PUL, Change in regional systolic left ventricular wall thickening as assessed by cardiac MRI",Capricor Inc.,,MALE,10 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE2,18,INDUSTRY,INTERVENTIONAL,TREATMENT,CAP-1002-DMD-02,,2018-03-04,2020-03-10,2020-03-10,2018-01-23,,2020-06-05,2024-12-10T07:22:19.264591
NCT00033189,An Open-label Pilot Study of Coenzyme Q10 in Steroid-Treated Duchenne Muscular Dystrophy,,COMPLETED,"This study will help to determine the safety and efficacy of the nutritional supplement Coenzyme Q10 when added to steroids as a treatment for Duchenne muscular dystrophy (DMD). Boys with DMD who are enrolled in this study will should be on a stable dose of steroids for at least six months, and will remain on their usual dose throughout the study. They will complete two screening visits within a one-week period, and if enrolled will then have their strength tested monthly for three months before beginning therapy with Coenzyme Q10. Once Coenzyme Q10 therapy is started, participants will have their strength tested monthly for six months. Following the six month treatment period, participants will be given the option to remain on Coenzyme Q10 until the study is completed.",False,"Muscular Dystrophy, Duchenne",DRUG,Coenzyme Q10,,,Cooperative International Neuromuscular Research Group,,MALE,5 Years,11 Years,CHILD,PHASE2,15,NETWORK,INTERVENTIONAL,TREATMENT,CNMC0301,,2001-09,,2005-01,2002-04-09,,2010-11-16,2024-12-10T07:22:19.264591
NCT03611244,Prevention of Scoliosis in Patients With Duchenne Muscular Dystrophy Using Portable Seat Device,,UNKNOWN,"This study will be conducted without blind method. The portable seat device devised to maintain lumbar lordosis will be made within 1 year after the loss of ambulation in the participants with Duchenne muscular dystrophy with prospective design.

In the control group, the presence of scoliosis will be calculated 5 years after the loss of ambulation in participants with Duchenne muscular dystrophy through analysis of retrospective medical records who had not been applied the portable seat device.",False,"Scoliosis Neuromuscular, Duchenne Muscular Dystrophy, Lordosis Lumbar",DEVICE,Portable seat device devised to maintain lumbar lordosis,Incidence of scoliosis,Incidence of scoliosis,Seoul National University Hospital,,MALE,7 Years,15 Years,CHILD,NA,98,OTHER,INTERVENTIONAL,PREVENTION,1806-171-955 SNUH,,2018-08-07,2024-12,2024-12,2018-08-02,,2018-09-18,2024-12-10T07:22:19.264591
NCT02109692,Evaluation of Muscle miRNA as Biomarkers in Dystrophinopathies,biodystromirs,UNKNOWN,"Duchenne muscular dystrophy (DMD) , caused by mutations in the DMD gene, is the most common and most severe progressive dystrophy of the child. Although the development is rapidly progressive , there is variability in the severity of the disease between DMD patients that do not correlate with the type of mutations in the DMD gene. There are no easily measurable biomarkers for monitoring the DMD or moderate form of the disease, Becker muscular dystrophy (BMD ) . MicroRNAs (miRNAs) are involved in most cellular processes , and their expression pattern is a signature of the state of a cell . They represent a potential class of diagnostic and prognostic biomarkers. Some are specific for the skeletal myogenesis , and changes in their pattern of expression are associated with muscle diseases including muscular dystrophy. The levels of muscle- specific miRNAs are indeed greatly increased in the serum of DMD and BMD compared to control patients .

The main objective of this is to validate the use of serum muscle-derived microRNAs as biomarkers of DMD patients (compared with healthy subjects). Secondary objectives are i) to investigate the relationship between circulating levels of these miRNAs and the severity of the dystrophinopathy (DMD vs BMD) and also the progression of the disease (longitudinal study), ii) to assess the specificity of these markers for dystrophinopathy (comparison with other patients with muscular dystrophy), iii) to test candidate miRNAs recently identified but not yet analyzed in the serum of patients.

Clinical data and samples will be recorded at each regular consultation. miRNA levels will be quantified using Real Time Quantitative RT-PCR.",False,"Muscular Dystrophies, Becker Muscular Dystrophy, Duchenne Muscular Dystrophy",OTHER,blood sample,Quantity of serum muscle-derived microRNAs of DMD patients,"severity of the dystrophinopathy, progression of the disease, specificitiy of miRNA for distrophinopathy","University Hospital, Montpellier",,ALL,18 Months,80 Years,"CHILD, ADULT, OLDER_ADULT",NA,186,OTHER,INTERVENTIONAL,HEALTH_SERVICES_RESEARCH,9184,,2014-05-19,2018-11,2019-11,2014-04-10,,2018-05-15,2024-12-10T07:22:19.264591
NCT02972580,Characterization of Clinical Skeletal and Cardiac Impairment in Carriers of DMD and BMD,,ACTIVE_NOT_RECRUITING,"Longitudinal prospective observational study. This is a 24-month study with the possibility of extending the data time points. Initially baseline, then 12 and 24 months follow up studies will be completed.",False,"Duchenne Muscular Dystrophy, Becker Muscular Dystrophy",GENETIC,Genetic characterization,Compromise of cardiac function based on Cardiac Magnetic Resonance Imaging,"Cardiac Function Assessment Treadmill SVO2, Physical Therapy Assessments Maximum Voluntary Isometric Contraction Testing, Physical Therapy Assessments 6 Minute Walk Test, Physical Therapy Assessments ACTIVE-seated, Physical Therapy Assessments Time-to-Rise, Laboratory biomarkers - Creatine Kinase, Laboratory biomarkers - C-Reactive Protein, Laboratory biomarkers - Interleukin-6, Laboratory biomarkers - Cortisol levels, Cognitive Assessment, Caregiver Stress, Pulmonary function testing (PFTs)",Nationwide Children's Hospital,Parent Project Muscular Dystrophy,FEMALE,18 Years,,"ADULT, OLDER_ADULT",,250,OTHER,OBSERVATIONAL,,IRB16-00319,,2016-06,2030-12,2030-12,2016-11-23,,2024-08-27,2024-12-10T07:22:19.264591
NCT02470962,Cardiac Involvement in Patients With Duchenne/Becker Muscular Dystrophy,,UNKNOWN,This study evaluates the function of the heart in young patients with muscular dystrophy type Duchenne or Becker. Participants have their hearts examined at regular intervals by ultrasound (echocardiography) and cardiac magnetic resonance imaging.,False,Duchenne / Becker Muscular Dystrophy,OTHER,Observation,Left ventricular ejection fraction,"Quantification of fibrosis by LGE/T1 mapping, NT-proBNP","University Children's Hospital, Zurich",,MALE,8 Years,18 Years,"CHILD, ADULT",,40,OTHER,OBSERVATIONAL,,DMD-Herz,,2015-05,2020-04,2020-04,2015-06-12,,2019-07-12,2024-12-10T07:22:19.264591
NCT06244082,Ph2 Open-label Study of AOC 1044 in Duchenne Muscular Dystrophy Participants with Mutations Amenable to Exon44 Skipping,EXPLORE44OLE,RECRUITING,AOC 1044-CS2 (EXPLORE44-OLE) is an Open-label Study to Evaluate the Pharmacodynamics and Long-Term Safety and Tolerability of AOC 1044 Administered Intravenously to DMD Participants with Mutations Amenable to Exon 44 Skipping.,False,"DMD, Duchenne Muscular Dystrophy, Duchenne, Exon 44",DRUG,AOC 1044,Change from baseline to biopsy visit in dystrophin protein level as measured in skeletal muscle by western blot,"Incidence of treatment emergent adverse events (TEAEs), Change from baseline to biopsy visit in dystrophin protein levels as measured in skeletal muscle by mass spectrometry, Change from baseline to biopsy visit in exon skipping as measured in skeletal muscle","Avidity Biosciences, Inc.",,MALE,7 Years,27 Years,"CHILD, ADULT",PHASE2,35,INDUSTRY,INTERVENTIONAL,TREATMENT,AOC 1044-CS2,,2024-01-22,2025-12-31,2026-12-31,2024-02-06,,2024-09-23,2024-12-10T07:22:19.264591
NCT01847573,"Safety, Tolerability, and Pharmacokinetics of Single and Multiple Doses of HT-100 in Duchenne Muscular Dystrophy",,TERMINATED,"The main purpose of this study is to test the safety and tolerability of different, increasing doses of an experimental medication called HT-100 in boys and young men with Duchenne muscular dystrophy (DMD). The study medication, HT-100, is a medicine that may help promote healthy muscle regeneration, diminish inflammation and the resulting damage to muscle, and decrease the scar tissue that forms in the muscles of children with DMD. In this study, pharmacokinetic sampling, or measurements of the amount of HT-100 in the bloodstream will also be taken.",False,Duchenne Muscular Dystrophy,DRUG,HT-100,Safety and tolerability of administering single and multiple ascending doses of HT-100 in DMD boys,"Pharmacokinetic plasma profile of halofuginone after single and multiple dose administration of HT-100 in DMD boys, Safety and tolerability of administering multiple ascending doses of HT-100 in DMD boys over 4 weeks, Early pharmacodynamic signals of HT-100 after 4 weeks of continuous dosing in DMD boys",Processa Pharmaceuticals,,MALE,6 Years,20 Years,"CHILD, ADULT","PHASE1, PHASE2",17,INDUSTRY,INTERVENTIONAL,TREATMENT,HALO-DMD-01,HALO,2013-05,2016-03-30,2016-03-30,2013-05-07,,2020-09-03,2024-12-10T07:22:19.264591
NCT02484560,Efficacy of Stem Cell Therapy in Ambulatory and Non-ambulatory Children With Duchenne Muscular Dystrophy - Phase 1-2,,UNKNOWN,"Duchenne Muscular Dystrophy (DMD) is a X-linked genetic disorder primarily affecting males, resulting in an absence of dystrophin which ultimately leads to progressive muscle degeneration. Patients with DMD progressively lose functional abilities of movement, breath, and eventually the ability to circulate blood. Currently, there is no cure for DMD, although several strategies are being tested for treatment, none have yet proven to be sufficient. Children with DMD are generally divided into two groups based on severity or progression of the disease, non-ambulatory and ambulatory. Ambulatory patients are capable of walking independently while non-ambulatory patients cannot walk independently.",False,Duchenne Muscular Dystrophy,DRUG,Biological: Umbilical Cord Based Allogenic Mesenchymal Stem Cell,"Degree of improvement in patients with Duchenne Muscular Dystrophy after stem cell therapy treatment administered using Northstar Ambulatory Assessment, Magnetic Resonance Imaging & Spectroscopy, muscle strength assessment equipment, and a questionnaire.",,University of Gaziantep,"Istınye University, Cukurova University, Yıldırım Beyazıt University, Gaziantep Deva Hospital, Gaziantep Public Hospital",MALE,8 Years,14 Years,CHILD,PHASE1,10,OTHER,INTERVENTIONAL,TREATMENT,56733164/203,,2015-06,2015-12,2015-12,2015-06-29,,2015-07-01,2024-12-10T07:22:19.264591
NCT06491927,Long Term Follow-up for RGX-202,,ENROLLING_BY_INVITATION,RGX-202-5101 is a long-term follow up study that evaluates the long term safety and efficacy of RGX-202 in participants who have received RGX-202 (a gene therapy designed to deliver a transgene for novel microdystrophin that includes functional elements of naturally-occurring dystrophin including the C-Terminal (CT) domain) in a separate parent study.,False,Duchenne Muscular Dystrophy,GENETIC,No Intervention,Evaluation of long-term safety of RGX-202,Efficacy measured by change in Functional Assessment,REGENXBIO Inc.,,MALE,,,"CHILD, ADULT, OLDER_ADULT",,19,INDUSTRY,OBSERVATIONAL,,RGX-202-5101,,2024-05-08,2029-12-01,2029-12-01,2024-07-09,,2024-07-09,2024-12-10T07:22:19.264591
NCT03648827,A Study to Assess Dystrophin Levels in Participants With Nonsense Mutation Duchenne Muscular Dystrophy (nmDMD),,COMPLETED,"This study is designed to evaluate the ability of ataluren to increase dystrophin protein levels in muscle cells of participants with nmDMD. The study will evaluate the levels of dystrophin before and after 40 weeks of ataluren therapy using muscle biopsies and 2 validated assay methods, electrochemiluminescence (ECL) and immunohistochemistry.",True,Duchenne Muscular Dystrophy,DRUG,Ataluren,"Percent Change From Baseline in Dystrophin Level at Week 40, as Measured by ECL","Percent Change From Baseline in Dystrophin Level at Week 40, as Determined by Immunohistochemistry (IHC) Membrane Stain Density",PTC Therapeutics,,MALE,2 Years,7 Years,CHILD,PHASE2,20,INDUSTRY,INTERVENTIONAL,TREATMENT,PTC124-GD-045-DMD,2019-001767-67,2018-12-21,2020-10-23,2020-10-23,2018-08-27,2022-04-05,2022-04-05,2024-12-10T07:22:19.264591
NCT05540860,A Study of EDG-5506 in Children with Duchenne Muscular Dystrophy (LYNX),,RECRUITING,"The LYNX study is a 2-part, multicenter, Phase 2 study of safety, pharmacokinetics and biomarkers in children with Duchenne muscular dystrophy including a randomized, double-blind, placebo-controlled part A, followed by an open-label part B.",False,Duchenne Muscular Dystrophy,"DRUG, DRUG, DRUG, DRUG, DRUG, DRUG","Sevasemten Dose 1, Sevasemten Dose 2, Sevasemten Dose 3, Sevasemten Dose 4, Sevasemten Dose 5, Placebo","Number of adverse events during treatment with sevasemten or placebo, Severity of adverse events during treatment with sevasemten or placebo","Incidence of abnormal clinical chemistry test results, Incidence of abnormal hematology test results, Incidence of abnormal coagulation test results, Incidence of abnormal urinalysis test results, Pharmacokinetics as measured by steady state plasma concentration, Change from Baseline in serum creatinine kinase, Change from Baseline in fast skeletal muscle troponin I","Edgewise Therapeutics, Inc.",,MALE,4 Years,9 Years,CHILD,PHASE2,72,INDUSTRY,INTERVENTIONAL,TREATMENT,EDG-5506-210,,2022-10-24,2026-02,2026-02,2022-09-15,,2024-09-19,2024-12-10T07:22:19.264591
NCT02434627,Sodium Nitrate for Muscular Dystrophy,,COMPLETED,The investigators' previous work in males with Becker Muscular Dystrophy shows that functional sympatholysis is restored by acute inorganic nitrate supplementation. This was translated from work using the mdx mouse model of dystrophinopathy. Recent work has shown that there is a frank improvement in grip strength when mdx mice are treated with an inorganic Nitric Oxide (NO) donor. The purpose of this study is to determine if chronic treatment with an inorganic NO donor can benefit patients with muscular dystrophy beyond blood flow regulation.,False,Becker Muscular Dystrophy,DRUG,Sodium Nitrate,Change in maximal handgrip strength,"Change in muscle function - Performance of Upper Limb Scale, Change in muscle tissue markers - histology and proteomics, Change in systolic wall strain - imaging, Change in muscle function - North Star Ambulatory Assessment, Change in muscle function - 6 minute walk test",Cedars-Sinai Medical Center,,MALE,15 Years,45 Years,"CHILD, ADULT",PHASE1,5,OTHER,INTERVENTIONAL,TREATMENT,Pro35228,,2015-06,2018-04,2018-04,2015-05-05,,2020-01-13,2024-12-10T07:22:19.264591
NCT00759876,Phase 2a Extension Study of Ataluren (PTC124) in Duchenne Muscular Dystrophy (DMD),,TERMINATED,"Duchenne muscular dystrophy (DMD) is a genetic disorder that develops in boys. It is caused by a mutation in the gene for dystrophin, a protein that is important for maintaining normal muscle structure and function. Loss of dystrophin causes muscle fragility that leads to weakness and loss of walking ability during childhood and teenage years. A specific type of mutation, called a nonsense (premature stop codon) mutation, is the cause of DMD in approximately 10-15% of boys with the disease. Ataluren is an orally-delivered, investigational drug that has the potential to overcome the effects of the nonsense mutation. This study is a Phase 2a extension trial that will evaluate the long-term safety of ataluren in boys with nonsense mutation DMD, as determined by adverse events and laboratory abnormalities. The study will also assess changes in walking, muscle function, strength, and other important clinical and laboratory measures.",True,Duchenne Muscular Dystrophy,DRUG,Ataluren,Number of Participants With Treatment Emergent Adverse Events (TEAEs),"Change From Baseline in 6-Minute Walk Distance (6MWD) as Measured by the 6-minute Walk Test (6MWT), Change From Baseline in Proximal Muscle Function as Assessed by Speed During Timed Function Tests, Change From Baseline in Standing From Supine Position as Assessed by Method Scores During Timed Function Tests, Change From Baseline in Run/Walk 10-Meters as Assessed by Method Scores During Timed Function Tests, Change From Baseline in Ascending 4 Stairs as Assessed by Method Scores During Timed Function Tests, Change From Baseline in Descending 4 Stairs as Assessed by Method Scores During Timed Function Tests, Change From Baseline in Force Exerted During Knee Flexion and Extension, Elbow Flexion and Extension, Shoulder Abduction, and Hand Grip as Assessed by Myometry, Change in Resting, Active, and Recovery Heart Rate as Assessed by Heart Rate Monitoring With the Polar RS400, Change From Baseline in Verbal Memory and Attention as Assessed by the Digit Span Task, Change From Baseline in Participant-Reported Health-Related Quality of Life (HRQL) as Measured by the Pediatric Quality of Life Inventory (PedsQL) Inventory, Change From Baseline in Parent- or Caregiver-Reported HRQL as Measured by the PedsQL Inventory, Change From Baseline in Serum Creatine Kinase (CK) Levels, Change From Baseline in Dystrophin Expression on Biceps Muscle Biopsy as Measured by Immunofluorescence Staining of the Sarcolemmal Membrane With an Antibody to the C-Terminal Portion of the Dystrophin Protein, Study Drug Compliance, Pharmacokinetics: Ataluren Plasma Exposure in All Participants, Pharmacokinetics: Ataluren Plasma Exposure in Ambulatory Participants, Corticosteroid Plasma Concentrations as Assessed by a Validated Bioanalytical Method, in Participants Who Received a Daily Corticosteroid Regimen With Prednisone or Deflazacort, Change in Muscle Composition as Assessed by Limb Magnetic Resonance (MR) Testing",PTC Therapeutics,"Genzyme, a Sanofi Company",MALE,,,"CHILD, ADULT, OLDER_ADULT",PHASE2,36,INDUSTRY,INTERVENTIONAL,TREATMENT,PTC124-GD-004e-DMD,,2008-08-13,2010-05-17,2010-05-17,2008-09-25,2020-10-29,2020-10-29,2024-12-10T07:22:19.264591
NCT04428476,Open-label Extension of the HOPE-2 Trial,HOPE-2-OLE,ACTIVE_NOT_RECRUITING,"This Phase 2, multi-center, open-label extension trial will provide deramiocel (CAP-1002) to subjects that were enrolled in the HOPE-2 trial and completed 12 months of follow-up. The trial will explore the safety and efficacy of twenty intravenous administrations of deramiocel, each separated by three months. Subjects will undergo a targeted screening during a 30-day screening period, eligible subjects will then undergo baseline safety and efficacy assessments on Day 1 prior to their first infusion of deramiocel.

Subjects will complete trial assessments at Screening; Day 1; Months 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, 57, and 60. Safety and efficacy assessments will be conducted prior to deramiocel administration at the Day 1, Months 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, and 57 trial visits, unless otherwise indicated.

All deramiocel infusions will be conducted in an outpatient setting at the investigative site on Day 1 and Months 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, and 57. Subjects will be observed in the outpatient setting for at least two hours post infusion and then discharged the same day, if medically cleared by the site Investigator.",False,Duchenne Muscular Dystrophy,BIOLOGICAL,Deramiocel (CAP-1002),"The primary safety endpoint is the incidence and severity of all treatment-emergent adverse events, The primary efficacy endpoint is change in upper limb function","Incidence and severity of all treatment-emergent adverse events, Change from baseline in upper limb function, Change from from baseline in distal-level (wrist and hand) upper limb function, Change from baseline in mid-level (elbow) upper limb function, Change in cardiac muscle function and structure by assessment of Left Ventricular Ejection Fraction (LVEF), Change in cardiac muscle function and structure by assessment of Left Ventricular End Systolic Volumes-Indexed (ESVI), Change in cardiac muscle function and structure by assessment of Left Ventricular End Diastolic Volumes-Indexed (EDVI), Change in cardiac muscle function and structure by assessment of mass, Change in cardiac muscle function and structure by assessment of unindexed volumes, Change in cardiac muscle function and structure by assessment of cardiac output, Change in cardiac muscle function and structure by assessment of wall thickening percentage, Change in cardiac muscle function and structure by assessment of end diastolic wall thickness, Change in cardiac muscle function and structure by assessment of end systolic wall thickness",Capricor Inc.,,ALL,10 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE2,13,INDUSTRY,INTERVENTIONAL,TREATMENT,CAP-1002-DMD-02-OLE,,2020-07-20,2022-02-16,2026-03,2020-06-11,,2024-11-12,2024-12-10T07:22:19.264591
NCT06594094,"An Open-label, Multidose Dose-escalation Study to Understand the Safety of CRISPR Gene-editing Therapy and Its Long-Lasting Effects in DMD Patients (MUSCLE)",MUSCLE,RECRUITING,"Duchenne muscular dystrophin (DMD) is an X-linked, fatal muscle-wasting disease caused by mutations in the DMD gene encoding the dystrophin proteins, with symptom onset before age of 6 years in boys. These mutations abolish dystrophin production in the muscle, leading to dystrophin deficiency at the myofiber membrane, continued fiber degeneration, the need for assisted ventilation, respiratory inflammation, loss of walking ability in their teens, followed by respiratory and cardiac decline, and eventually premature death before the age of 30.

Currently, there are only glucocorticoids for the standard supportive therapy of DMD, which can improve disease symptoms but do not change the outcome of the disease, Three antisense oligonucleotide (ASOs) medicines have been approved to treat DMD with exon 45-55 hotspot region mutations. However, they can only restore trace amounts of dystrophin protein, which is insufficient to bring real clinical benefits. Gene replacement therapy has been approved using adeno-associated virus (AAV) vectors to deliver the ""mini-dystrophin"" gene. Yet, mini-dystrophin gene-expression versions of truncated dystrophin functionality are sacrificed and limited.

HG302 uses a single AAV vector to deliver the CRISPR/hfCas12Max DNA editing system in the human DMD exon 51 splice donor site. Preclinical studies have shown that a single intravenous injection of HG302 significantly restores dystrophin protein expression in muscle fibers and rescues their muscle function in humanized DMD mice to wild-type levels, with long-lasting and durable efficacy.",False,Duchenne Muscular Dystrophin (DMD),GENETIC,HG302,Incidence and severity of systemic adverse events,"Change from baseline in percentage of dystrophin positive fiber, Change from baseline in dystrophin fiber intensity, Change from baseline in North Star Ambulatory Assessment scale","HuidaGene Therapeutics Co., Ltd.",,MALE,4 Years,8 Years,CHILD,NA,6,INDUSTRY,INTERVENTIONAL,TREATMENT,HG30201,,2024-11-06,2026-09-30,2026-09-30,2024-09-19,,2024-11-25,2024-12-10T07:22:19.264591
NCT01009294,Study of Ataluren (PTC124) in Nonambulatory Participants With Nonsense-Mutation-Mediated Duchenne/Becker Muscular Dystrophy (nmDMD/BMD),,TERMINATED,"Duchenne/Becker muscular dystrophy (DMD/BMD) is a genetic disorder that develops in boys. It is caused by a mutation in the gene for dystrophin, a protein that is important for maintaining normal muscle structure and function. Loss of dystrophin causes muscle fragility that leads to weakness and loss of walking ability during childhood and teenage years. A specific type of mutation, called a nonsense (premature stop codon) mutation is the cause of DMD/BMD in approximately 10-15% of boys with the disease. Ataluren (PTC124) is an orally delivered, investigational drug that has the potential to overcome the effects of the nonsense mutation. This study is a Phase 2a trial that enrolled boys with nonsense mutation DMD/BMD who have lost independent mobility due to the disease. This study evaluated the safety and tolerability of ataluren (PTC124) and also evaluated efficacy outcomes in this participant population.",True,"Duchenne Muscular Dystrophy, Becker Muscular Dystrophy","DRUG, DRUG","Ataluren, Chronic Corticosteroid Therapy",Number of Participants With Treatment Emergent Adverse Events (TEAEs),"Time to Complete Upper Limb Function Tasks as Measured by the Jebsen Test, Upper Limb Function as Measured by the Brooke Upper Extremity Functional Rating Scale, Participant Activities of Daily Living as Assessed Using the Egen Klassifikation (EK) Scale, Shoulder, Elbow, and Wrist Passive and Active Range of Motion as Measured by Goniometry, Force Exerted During Elbow Flexion and Extension, Shoulder Abduction, Hand Grip, Key Grip, and Finger Pinch as Assessed by Upper Extremity Myometry, Time to Complete Hand Fine Motor Coordination and Dexterity Tasks as Measured by 9-Hole Peg Test (9HPT), Forced Vital Capacity (FVC) as Measured by Spirometry, Systolic and Diastolic Function as Measured by Echocardiography With Tissue Doppler, Heart Rate as Assessed by Radial Pulse, Verbal Memory and Attention as Assessed by the Digit Span Task, HRQL as Measured by the PedsQL Inventory Generic Core Scale, HRQL as Measured by the PedsQL Multidimensional Fatigue Scale, HRQL as Measured by the INQoL, Muscle Fragility as Determined by Serum Creatine Kinase (CK) Levels, Gastrocnemius Muscle Dystrophin Expression as Determined by Immunofluoresence or by Western Blotting Techniques, Study Drug Compliance, Pharmacokinetics: Ataluren Plasma Exposure",PTC Therapeutics,"Genzyme, a Sanofi Company",MALE,7 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE2,6,INDUSTRY,INTERVENTIONAL,TREATMENT,PTC124-GD-008-DMD,2009-013169-24,2010-01-13,2010-03-23,2010-03-23,2009-11-06,2020-07-29,2020-07-29,2024-12-10T07:22:19.264591
NCT05412394,Once Weekly Infant Corticosteroid Trial for DMD,,RECRUITING,The hypothesis tested here is that a lower dose of intermittent oral corticosteroids (5mg/kg/week) will be equally effective to the 10mg/kg/week dose.,False,Duchenne Muscular Dystrophy,DRUG,Prednisolone,The change from baseline to 24 months for the Gross Motor Scaled Score.,"Language (expressive and receptive), Social and Fine Motor skills at 24 months as assessed by the Bayley-4 Scales of Infant and Toddler Development, Linear growth",Anne M. Connolly,"Ann & Robert H Lurie Children's Hospital of Chicago, Children's Hospital Medical Center, Cincinnati, Muscular Dystrophy Association, University of Texas, Virginia Commonwealth University",MALE,1 Month,30 Months,CHILD,PHASE4,26,OTHER,INTERVENTIONAL,TREATMENT,Infant Steroid Phase II,,2021-04-30,2026-08-30,2026-12-30,2022-06-09,,2023-09-18,2024-12-10T07:22:19.264591
NCT04139460,CRT-P or CRT-D in Dilated Cardiomyopathy,CRT-REALITY,NOT_YET_RECRUITING,"The ICD-Reality study is a non-commercial, investigator-led, multicenter, prospective, randomized, controlled trial. We aim to determine the effect of CRT-D or CRT-P implantation in non-ischemic cardiomyopathy and heart failure patients.

The reason why we initiated this trial is the lack of evidence-based treatment for the significant number of these patients. In these patients, 5-year mortality remains as high as 20% despite recent therapeutic advances. Based on currently available evidence, because of a significant decrease in mortality due to modern pharmacotherapy, it is not certain which of these patients should receive a CRT-P and who should receive a CRT-D. No dedicated and adequately powered trial has addressed this important question.

We hypothesize that patients with symptomatic HF, LVEF ≤35%, without left ventricular mid-wall fibrosis on LGE-CMR, will not benefit from CRT-D implantation compared with CRT-P only implantation.

If our hypothesis is confirmed, this could provide evidence for the management of these patients with a significant impact on common daily praxis and health care expenditures.

We aim to enroll 600 patients in the trial. 924 patients are needed to be screened for these 600 patients to be randomized.

Patients with non-ischemic HF visiting an out-patient department and possibly eligible for the trial will have their pharmacotherapy optimized.

Patients with a significant amount of fibrosis will be excluded from the study and treated according to local practice with an emphasis on ICD implantation to prevent SCD.

After fulfilling all eligibility criteria, including maximally tolerated pharmacotherapy, subjects will be randomized by the physicians who enrolled them in a 1:1 ratio to receive CRT-D or CRT-P implantation.

All patients will be followed-up for at least 3 years after the implantation.",False,"Cardiomyopathy, Dilated, 3B","DEVICE, DEVICE","CRT-D, CRT-P","Re-hospitalization for heart failure, Ventricular tachycardia, Major adverse cardiac events (MACE)","Sudden cardiac death, Cardiovascular death, Resuscitated cardiac arrest or sustained ventricular tachycardia, Device-related complications, The impact in terms of overall quality of life by the SF-36 Questionnaire, The impact in terms of overall quality of life by the MacNew Questionnaire",University Hospital Olomouc,,ALL,18 Years,99 Years,"ADULT, OLDER_ADULT",NA,924,OTHER,INTERVENTIONAL,TREATMENT,University Hospital Olomouc,,2020-06,2026-01,2026-01,2019-10-25,,2020-03-25,2024-12-10T07:22:19.264591
