NCTId,type,name,description,arm_group_labels,other_names
NCT03901729,Drug,BAY 1753011,Tablet; 30mg or 5mg unit; 30mg once daily in the morning; Oral,"Arm 1, Arm 1-A, Arm 2-A",
NCT03901729,Other,Placebo BAY 1753011,Tablet; Once daily in the morning; Oral,"Arm 1-B, Arm 2, Arm 2-B",
NCT03901729,Drug,Furosemide,Tablet; 40mg unit; 80mg once daily in the morning; Oral,"Arm 1-B, Arm 2-B",
NCT03901729,Other,Placebo Furosemide,Tablet; Once daily in the morning; Oral,"Arm 1-A, Arm 2-A",
NCT02068040,Dietary Supplement,CocoaVia,CocoaVia contains flavanols found natrually in cocoa beans. Capsules will contain 250mg of flavanol,CocoaVia capsules,Epicatechin consumption
NCT05582044,Other,Lower-body Negative Pressure (-25 mmHg),"The LBNP chamber will be sealed at the waist prior to Control measures, and the vacuum system will be activated to coincide with the onset of exercise, applying -25mmHg LBNP.","Healthy Controls (20 Participants), Heart Failure with Preserved Ejection Fraction (40 Participants)",
NCT05582044,Other,Lower-body Negative Pressure (-15 mmHg),"The LBNP chamber will be sealed at the waist prior to Control measures, and the vacuum system will be activated to coincide with the onset of exercise, applying -15mmHg LBNP.","Healthy Controls (20 Participants), Heart Failure with Preserved Ejection Fraction (40 Participants)",
NCT05582044,Other,Lower-body Neutral Pressure (0 mmHg),"In this placebo trial, the LBNP chamber will be sealed at the waist prior to Control measures, and the vacuum system will be activated to coincide with the onset of exercise, but the chamber will be vented to atmosphere.","Healthy Controls (20 Participants), Heart Failure with Preserved Ejection Fraction (40 Participants)",
NCT05479669,Diagnostic Test,Echocardiography,"Transthoracic echocardiograms will be performed at inclusion. Echocardiographic parameters that will be evaluated are measures of atrial size (including left atrial volume, right atrial dimensions, left ventricular function and dimensions (including left ventricular dimensions, septal wall thickness, posterior wall thickness, systolic function, Simpson biplane left ventricular ejection fraction), parameters of diastolic dysfunction (including E, A, E/A ratio, deceleration time, E' and E/E' ratio) and valve (dys)function.",,
NCT05479669,Diagnostic Test,24 hour Holter monitoring,"24-hours Holter monitoring will be used to determine markers of increased risk of ventricular arrhythmias, such as non-sustained ventricular tachycardias, and ventricular premature beats and doublets. Also the presence and pattern of AF and runs of supraventricular tachycardias are determined.",,
NCT05479669,Diagnostic Test,Cardiac Magnetic Resonance Imaging,"Multiple short-axis cine images will be acquired throughout the entire LV with a steady-state free precession sequence. Left ventricular volumes, ejection fraction and myocardial mass will be measured on the short-axis stacks at end diastolic and end systolic frames. Ten to 15 minutes after an intravenous bolus injection of a gadolinium-based contrast agent late gadolinium enhancement will be performed with a segmented inversion recovery gradient-echo sequence, using the same image orientation as in the short-axis stacks. The presence, location and morphology of myocardial fibrosis will be described. The extent of myocardial scar will be quantified using computer-assisted planimetry and expressed as a percentage of left ventricular mass. Pre- and post-contrast T1 measurements will be obtained using a single-shot modified Look Locker inversion recovery sequence. Extracellular volume (a measure of diffuse myocardial fibrosis) will be quantified.",,
NCT05479669,Diagnostic Test,99mTc-HDP scan,"Patients will receive a 99mTc-HDP scan. 3 hours after the technetium 99m-hydroxymethylene diphosphonate bolus injection, imaging will be performed using a gamma-camera equipped with a collimator which guides individual gamma-rays emitted by the radionuclide. For planar imaging, a collimator will be used to transfer only those gamma-rays which pas in a perpendicular course. Sequentially, a SPECT-CT will be performed in the same session to improve sensitivity. SPECT/CT will be performed on a SPECT/CT dual head gamma camera system. SPECT images will be acquired using a 128 x 128 matrix, 180 degrees of rotation, 64 views, 15s per view. Visual image analysis will be performed by two blinded and experienced nuclear medicine physicians. Data will be scored according to a routine scoring system on a scale from 0 (no cardiac uptake of 99m technetium and normal bone uptake) to 3 (high cardiac uptake, higher than bone uptake).",,
NCT05479669,Diagnostic Test,ECG,A 12-lead electrocardiogram will be performed at the 1-year and 2-year follow-up visit to determine the heart rhythm and heart rate.,,
NCT06929169,Drug,iSGLT2,"Participants randomized to the experimental arm will receive a once-daily dose of a sodium-glucose cotransporter 2 inhibitor (SGLT2i), administered orally, in addition to their standard hemodialysis care. The specific agent (e.g., dapagliflozin or empagliflozin) and dose will be selected based on safety data and clinical guidelines applicable to patients with end-stage renal disease (ESRD) on dialysis. The intervention will be maintained for 12 months. Dosing will be monitored by the research team to ensure tolerability and adherence. All patients in the experimental group will undergo comprehensive cardiovascular assessment, including serial cardiac MRI, echocardiography, and measurement of fibrosis-related biomarkers.

This intervention differs from standard care by introducing a pharmacologic agent not routinely administered in the dialysis population, targeting cardiac remodeling, fibrosis, and intradialytic complications.",Drug: iSGLT2,SGLT2 inhibitor
NCT04113291,Other,DASH Diet,"12 Weeks of isocaloric DASH diet \<2300 mg Na/day using meals (lunch, dinner, snacks) prepared by the Wake Forest Clinical Research Metabolic Kitchen under the direction of a registered dietician (RD). Participants will prepare their own breakfast from a menu.The subjects will be instructed to drink no more than three caffeinated beverages and no more than two alcoholic beverages per day.",DASH diet group,Dietary Approaches to Stop Hypertension
NCT04113291,Other,Usual diet,12 weeks usual diet \<2300 mg Na/day,Attention Control Group,
NCT05393362,Procedure,Cardiac Rehabilitation Program (CR),"Strength exercises: strengthe exercise will be performed twice a week for 12 weeks, 4-6 series at 60% RM at the beginning of the program, with a progression towards 85% RM in each functional movement at the end of the intervention. The patients will rest for 90 seconds between series and 3 minutes between exercises. Each session has an estimated duration of between 45-60 min.

Aerobic exercise: aerobic exercise it will be performed twice a week for twelve weeks, between 45-60 min each session of aerobic exercise. It will be developed on a treadmill or cycle ergometer at 50% of HR max at the beginning of the program with a progression towards 80% of HR max at the end, continuously or internally. The Borg scale will prevail over the objective data to adjust the intensity of each patient, Borg = 10/20 or mBorg = 5/10 at the beginning, with progression to Borg = 14/20 or mBorg = 8/10 at the end.",Cardiac Rehabilitation Program (CR),Exercise Group
NCT05393362,Behavioral,Control Group (CG),"The control group will receive two education sessions per week for twelve weeks on the complications derived from Heart Failure (HF), functional deterioration, and healthy lifestyle habits.",Control Group (CG),Health education group
NCT06560762,Drug,STM01,"Neonatal mesenchymal stem cells (nMSCs),",Dose arm (2 cohorts; 2 doses),
NCT03672591,Other,Renal clearance examination,Evaluation of renal hemodynamic parameters by constant-infusion input clearance technique with p-aminohippuric acid and Iohexol,"Control group, HFpEF patients","Scanning laser Doppler flowmetry, SphygmoCor, UnexEF"
NCT01045291,Device,Cardiac Resynchronization Therapy-Defibrillator (CRT-D),"Market approved InSync SentryTM model 7298, dual chamber Implantable Cardioverter Defibrillator (ICD) with Cardiac Resynchronization Therapy (CRT) including sequential biventricular pacing and OptiVol® fluid monitoring or market approved InSync MaximoTM model 7304 dual chamber ICD with CRT including sequential biventricular pacing.","Fusion Pacing OFF, Fusion Pacing ON","Fusion Pacing Investigational Software, Fusion Pacing is an algorithm that is downloaded for use in InSync SentryTM or InSync MaximoTM devices."
NCT06979362,Drug,CDR132L,CDR132L will be administered intravenously once every 4 weeks.,"CDR132L: Dose 1, CDR132L: Dose 2, CDR132L: Dose 3",
NCT06979362,Drug,Placebo,Placebo will be administered intravenously once every 4 weeks.,Placebo,
NCT04128891,Drug,Sacubitril-Valsartan,Cardiomagnetic Resonance Imaging,"Sacubitril/Valsartan, Valsartan",Valsartan
NCT03074591,Drug,Ferric Carboxymaltose 50Mg/Ml Inj 15Ml,"After baseline assessments patients will be randomised in a 1:1 ratio to receive Ferric Carboxymaltose IV or placebo/saline (normal saline: 0.9% w/v NaCl). In the Treatment group, Ferric Carboxymaltose will be administered according to the dosing schedule.",Treatment,Ferric Carboxymaltose
NCT03074591,Drug,Saline Solution for Injection,"In the placebo/saline group, patients will receive the aequivalent number of normal saline infusions.",Placebo,Saline Solution
NCT04391491,Diagnostic Test,Neuregulin-1β level in plasma,"Peripheral blood will be collected after randomization (plus or minus 3 days), the plasma will be assayed for neuregulin-1b, biomarkers of inflammation and fibrosis, NTproBNP","Heart failure with preserved ejection fraction, Heart failure with redused ejection fraction, Microvascular angina, Pulmonary hypertension",
NCT05878912,Other,Diet intervention,The diet intervention delivers a weight loss program. The main component is a total diet replacement low energy diet. The intervention includes a gradual food reintroduction phase and maintenance strategies.,Diet,
NCT06391710,Drug,HRS9531,subcutaneous,HRS9531,
NCT06391710,Drug,Placebo,subcutaneous,Placebo,
NCT03506412,Drug,EntrestoTM 49Mg-51 mg tablet,EntrestoTM 49Mg-51 mg will be given twice daily orally for 5 weeks,"High Serum Neprilysin (sNEP) levels, Low Serum Neprilysin (sNEP) levels",
NCT06650995,Other,Exercise training,"exercise intervention will consist of supervised, home-based, combined training with elements of endurance, resistance and respiratory training",Intervention Group,
NCT04282850,Procedure,Pulmonary Vein Isolation,The intervention will involve standard of care electrophysiology ablation for rhythm management of atrial fibrillation with a procedure called a pulmonary vein isolation.,Pulmonary Vein Isolation (PVI) Group,Atrial fibrillation ablation
NCT03624010,Drug,Levosimendan 2.5 mg/ml Injectable Solution,A sterile 2.5 mg/mL concentrate solution that is diluted in 5% Dextrose or 0.9 Normal Saline to achieve a 50 microgram/min solution for infusion,Levosimendan,
NCT04546555,Device,Dual chamber pacemaker,Dual chamber pacemaker implantation with Bachmann's bundle lead and His bundle lead placement.,"Bachmann's bundle and His bundle pacing, Bachmann's bundle pacing, Bachmann's bundle, His bundle and nocturnal pacing, No pacing",
NCT04546555,Other,Accelerated Physiologic Pacing,The lower rate limit will be programmed to an individualized heart rate.,"Bachmann's bundle and His bundle pacing, Bachmann's bundle pacing, Bachmann's bundle, His bundle and nocturnal pacing",
NCT04546555,Other,Nocturnal Pacing,"In addition to adjustment of the lower rate limit to an individualized heart rate, nocturnal pacing a moderate HR elevation of 110bpm will be implemented between 8pm and 6am.","Bachmann's bundle, His bundle and nocturnal pacing",
NCT06930495,Drug,Weight loss SOC Treatment with second generation anti-diabetic medications,"To determine the best incretin-based drug for the treatment \[done as part of regular standard of care (SOC) treatment\], participants will go to UTSW weight wellness clinic and undergo a comprehensive history and physical exam to evaluate their overall health. This information is used to create an individualized approach to the participants weight loss regimen. As part of the regimen, participants will receive guidance on initiating lifestyle modifications including diet and exercise and may be referred to a clinical psychologist for evaluation and management of factors like stress, anxiety and depression, and exercise which may influence their health behaviors and body weight.",HFpEF and Obesity Group,
NCT06337812,Dietary Supplement,Potato Starch,"Participants will consume 10 grams (1/2 a packet) of Bob's Red Mill Potato Starch twice a day for the first 7 days and then increase to 20 grams (full packet) of potato starch for approximately 3 weeks. Potato starch can be mixed into cold food or beverage for consumption.

In addition, participants will have evaluations and provide blood and stool samples during the study.",Potato starch supplement,
NCT04753112,Drug,Sacubitril / Valsartan Oral Tablet [Entresto],Treatment of Pulmonary Hypertension With Angiotensin II Receptor Blocker and Neprilysin Inhibitor,Treatment,
NCT01516346,Drug,Isosorbide Dinitrate,"Enrolled subjects will be randomized in a blinded fashion to 1 isosorbide dinitrate capsule TID + 1 placebo capsule TID. In addition, all subjects will receive a single in-lab dose of 0.4 mg of sublingual nitroglycerine (open label) before randomization to the blinded study drugs. Subjects receiving isosorbide dinitrate will be given 20mg PO q8am, 2pm, and 8pm and will be titrated up to 40mg PO q8am, 2pm, and 8pm.",Isosorbide dinitrate,
NCT01516346,Drug,Isosorbide Dinitrate + Hydralazine,"Enrolled subjects will be randomized in a blinded fashion to 1 isosorbide dinitrate capsule TID + 1 hydralazine capsule TID. In addition, all subjects will receive a single in-lab dose of 0.4 mg of sublingual nitroglycerine (open label) before randomization to the blinded study drugs. Subjects receiving isosorbide dinitrate will be given 20mg PO q8am, 2pm, and 8pm and will be titrated up to 40mg PO q8am, 2pm, and 8pm. Subjects receiving hydralazine will be given 37.5mg PO q8am, 2pm, and 8pm and will be titrated up to 75mg PO q8am, 2pm, and 8pm.",Isosorbide dinitrate + Hydralazine,
NCT01516346,Drug,Placebo,"Enrolled subjects will be randomized in a blinded fashion to 2 placebo capsules TID. In addition, all subjects will receive a single in-lab dose of 0.4 mg of sublingual nitroglycerine (open label) before randomization to the blinded study drugs.",Placebo,
NCT05884346,Other,Ultrahigh-frequency ultrasound,Arterial remodeling of the digital arteries will be measured by ultrahigh-frequency ultrasound and will be compared in heart failure patients with preserved ejection fraction with and without identified macroscopic coronary disease,"Heart Failure Preserved Ejection Fraction with coronary disease, Heart Failure Preserved Ejection Fraction without coronary disease",
NCT06629246,Drug,Conventional heart failure treatment,"Conventional heart failure treatment, which may include pharmacological therapies such as diuretics, ACE inhibitors/ARBs, beta-blockers, or aldosterone receptor antagonists, based on the clinical requirements of the condition.",control group,
NCT06629246,Drug,Pogejiuxin decoction combined with conventional heart failure treatment,"In addition to receiving standard heart failure treatment, patients are also administered Pogejiuxin Decoction.The formula of Pogejiuxin Decoction is as follows : Processed Aconite 60g (decocted initially for 1 hour), Dried Ginger 60g, Honey-fried Licorice 60g, Cornus officinalis 60g, Ginseng 30g (decocted separately), Raw Dragon Bone 30g (decocted initially for 1 hour), Raw Oyster Shell 30g (decocted initially for 1 hour), Living Magnetite 30g, for a total of 7 prescriptions. Usage: Uniformly decocted with a herbal medicine decoction machine to obtain the medicinal liquid, one prescription per day, taken twice daily in the morning and evening, each time 100ml, for a continuous treatment of 7 days.",intervention group,
NCT05833581,Other,New York Heart Association Classification Guide,The New York Heart Association Classification Guide is a questionnaire that assists in guiding the provider in selection of the patient's class,Single Intervention Study Arm,
NCT06338943,Diagnostic Test,Echocardiography,Echocardiography to diagnose HFpEF,Patient with the history of pregnancy,
NCT06338943,Other,Questionnaire,Questionnaire to determine the presence of adverse pregnancy outcomes history,Patient with the history of pregnancy,
NCT06616038,Other,Data collection,"Given the observational nature of the study, the intervention is a simple data collection","heart failure patients (HFrEF and HFpEF) with atrial fibrillation, heart failure patients (HFrEF and HFpEF) without atrial fibrillation",
NCT05719714,Drug,Dapagliflozin 10 MG [Farxiga],10mg (milligram) tablet to be taken orally once daily for 6 months. Manufacturer: Astrazeneca. Study drug will be stored and dispensed by the Interventional Drug Service Pharmacy at Northwestern University.,Intervention group,
NCT04008914,Other,retrospective observation,"Retrospective review of study patients excluded from the CONNECT- HF trial who were discharged with a diagnosis of HFpEF between August 1, 2017 and March 1, 2018. Readmission rate at 30 and 90 days along with patient demographics and associated comorbidities were analyzed.","readmission at 30 days, readmission at 90 days",
NCT04424914,Diagnostic Test,Scintigraphy,scintigraphy,"ATTR-CM negative, ATTR-CM positive",
NCT02772068,Drug,Istaroxime,"Subjects will be given Istaroxime, a novel SERCA2a activator one hour prior and during exercise.","Healthy Senior Control, Heart failure patients",exercise
NCT02772068,Other,Exercise,,"Healthy Senior Control, Heart failure patients",
NCT04894968,Diagnostic Test,"Assessment of the presence of heart failure with preserved ejection fraction, according to guideline recommendations from the European Society of Cardiology 2016","Patient will be screened for the presence of heart failure with preserved ejection fraction, according to guideline recommendations from the European Society of Cardiology 2016.

This requires patients to fulfill all of the four criteria listed below:

1. Symptoms of heart failure (e.g. dyspnea on extertion)
2. Preserved ejection fraction (Left ventricular ejection fraction ≥50%
3. NT-proBNP ≥125 pg/mL
4. Echocardiographic signs for structural heart disease or diastolic dysfunction (at least one of the criteria below)

   * Left atrial volume index \>34 mL/m2
   * Left ventricular mass index ≥115 g/m2 for males or ≥95 g/m2 for females
   * E/e' ≥13
   * Septal e' \<9 cm/s",,
NCT02980068,Drug,15N Nitrate,"1,000 mg/11.8 mmol, oral, on day one, hour zero",15N Nitrate,15N Sodium Nitrate
NCT02980068,Drug,14N Nitrate,"1,000 mg/11.18 mmol, oral, on day hour, hour zero",14N Sodium Nitrate,14N Sodium Nitrate
NCT06670001,Behavioral,Gamification plus social incentive,Participants in the Gamification plus social incentive intervention arm will receive gamification and social incentives as part of the intervention. See arm descriptions for more detail.,Gamification plus social incentive,
NCT06670001,Behavioral,Gamification plus competition,Participants in the Gamification plus competition intervention arm will receive gamification and a competition as part of the intervention. See arm descriptions for more detail.,Gamification plus competition,
NCT06702501,Device,PeriCut Catheter System performs minimally invasive pericardiotomy,The PeriCut Catheter System will incise the pericardium to reduce filling pressures of the heart.,Single Arm - Procedure & Follow up,
NCT05847244,Drug,Metformin,"The intervention will consist in giving metformin starting with 500 mg once daily (at breakfast) during the first week; if well tolerated, the dose was progressively increased to 500 mg twice daily (at breakfast and dinner) during week 2, to 1000 mg at breakfast and 500 mg at dinner during week 3, in order to reach the target dose of 1000 mg twice daily (at breakfast and dinner)",intervention (metformin),
NCT06992089,Device,"Dual-chamber cardiac pacemaker (Essentio MRI L111 Boston Scientific®), Single-chamber cardiac pacemaker (Essentio MRI L110 Boston Scientific®)","Dual-chamber cardiac pacemaker (Essentio MRI L111 Boston Scientific®), with rate-adaptive pacing of the right atrium. There will be an associated right atrial lead (INGEVITYTM MRI Pacing Lead Boston®) and right ventricular lead (INGEVITYTM MRI Pacing Lead Boston®).

Single-chamber cardiac pacemaker (Essentio MRI L110 Boston Scientific®), with rate-adaptive pacing of the ventricles. There will be a right ventricular lead (INGEVITYTM MRI P Boston®).","Pacing off, Pacing on",
NCT04277429,Diagnostic Test,Cardiac function assessment,"Echocardiography, cardiac enzymes analysis","Heart failure with preserved ejection fraction, Heart failure with reduced ejection fraction, Normal cardiac function",
NCT05055180,Diagnostic Test,Invasive hemodynamics and myocardial biopsies,Invasive hemodynamic characterization (biventricular pressure volume loop assessment) and biventricular myocardial biopsies,"HFpEF with pulmonary hypertension, HFpEF without pulmonary hypertension, Patients without HFpEF",
NCT03037580,Drug,Oral treprostinil,Sustained-release oral tablets for TID administration,Oral treprostinil,"Treprostinil diethanolamine, treprostinil diolamine"
NCT03037580,Drug,Placebo,Placebo (sugar pill) for TID oral administration,Placebo,Matching placebo (sugar pill)
NCT04644692,Other,Lung ultrasound,A lung ultrasound before and at the end of the stress test.,"Case group: patients with heart failure with preserved ejection fraction, Control Group:Never diagnosed with either preserved or altered ejection fraction heart failure.",
NCT05139472,Drug,Empagliflozin 10 MG,Daily Empagliflozin,Treatment Arm,
NCT05822622,Other,echocardiography,to determine finding of heart failure with preserved ejection fraction and non alcoholic fatty liver disease,"HFpEF(heart failure with preserved ejection fraction), NAFLD(non alcoholic fatty liver disease)",abdominal ultrasound and transient elastography
NCT05649787,Behavioral,Supervised aerobic training,Supervised moderate to high-intensity interval aerobic training,"Supervised aerobic plus low to moderate-intensity strenght training, Supervised aerobic plus moderate to high-intensity strenght training, Supervised aerobic training",
NCT05649787,Behavioral,Supervised aerobic plus low to moderate-intensity strength training,Supervised moderate to high-intensity interval aerobic training plus low to moderate-intensity strength training,Supervised aerobic plus low to moderate-intensity strenght training,
NCT05649787,Behavioral,Supervised aerobic plus moderate to high-intensity strength training,Supervised moderate to high-intensity interval aerobic training plus moderate to high-intensity strength training,Supervised aerobic plus moderate to high-intensity strenght training,
NCT06176131,Other,Telemedicine-based cross-sector collaboration for patient management,Telemedicine support from the hospital-based cardiology heart-failure team is provided on demand defined by the needs from Primary Care and from the patient rather than plain guideline-based targets,cardio-share,
NCT06909682,Device,Intervention Group (Device Group - AI-Based Remote Monitoring),"This intervention utilizes a mini-invasive wearable device for continuous remote monitoring of chronic heart failure (CHF) patients. Unlike traditional telemonitoring, it integrates AI-driven predictive analytics to track oxygen saturation (SpO2), heart rate variability (HRV), electrodermal activity (EDA), temperature, respiratory rate, and sleep quality in real time. The system generates automated alerts for healthcare providers, enabling early detection of CHF exacerbation and proactive intervention through teleconsultations, medication adjustments, or in-person evaluations. Data is securely transmitted to a cloud-based platform, allowing continuous risk assessment and personalized care adjustments. This approach aims to reduce unnecessary hospitalizations, enhance patient monitoring, and optimize heart failure management through advanced AI-based digital health technology.",Intervention Group (Device Group - AI-Based Remote Monitoring),
NCT06909682,Other,Standard Clinical Follow-Up,"Participants in this group will receive standard chronic heart failure (CHF) management according to current clinical guidelines. Their follow-up will consist of scheduled in-person visits every three months, during which they will undergo routine laboratory tests (including BNP, NT-proBNP, renal function, and electrolytes), as well as echocardiography and ECG evaluations. Treatment adjustments will be made based on clinical assessments and reported symptoms. Unlike the intervention group, these participants will not use a wearable device, and their condition will be monitored exclusively through traditional hospital visits and self-reported health status.",Control Group (Non-Device Group - Standard Clinical Follow-Up),
NCT04727073,Drug,Experimental: Spironolactone,Spironolactone (an aldosterone antagonist) in tablet form taken daily. The initial study drug dose is 25 mg/day (one tablet) and may be titrated up to 50 mg/day (two tablets) within 4 weeks if kidney function at VR was \> 30 mL/min/m2 and potassium \< 4.5 mmol/L.,Arm A,
NCT04727073,Drug,Placebo Comparator,Placebo of Spironolactone in tablet form taken daily with dosage escalation rules in accordance with dosage of the study drug Spironolactone.,Arm B,
NCT02932566,Drug,Pirfenidone,"Pirfenidone is an orally bioavailable, small molecule antifibrotic agent.",Pirfenidone,Esbriet
NCT02932566,Drug,Placebo,"Placebo capsule, manufactured with the exact components of the Pirfenidone capsules, without the active ingredient / investigational medicinal product",Placebo,
NCT06479876,Other,HBCR,"Home-based cardiac rehabilitation intervention facilitated by a custom app to deliver education, counseling on healthy living and modification of risk factors, mindfulness, and physical activity guidance. Additionally, there are periodic video calls with an exercise physiologist.",Home-based cardiac rehabilitation mobile health intervention,
NCT04587648,Other,"NA, observational study","NA, observational study",,
NCT05839730,Device,Pacemaker PLR + TRT ON,RAMware modified implantable pulse generator (IPG) with personalized lower rate (PLR) and tachycardia remodeling therapy (TRT) ON,Pacemaker with multiple pacing therapies enabled,
NCT05839730,Device,Pacemaker non-pacing mode or an exertional rate-adaptive pacing mode with no planned pacing at rest.,RAMware modified implantable pulse generator (IPG),Pacemaker with no pacing therapies enabled,
NCT04862273,Diagnostic Test,Native T1 CMR,Observed method,Native T1 CMR,
NCT04862273,Diagnostic Test,"Web-based ATTR probability estimator (Pfizer, New York)",Observed method,Native T1 CMR,
NCT04862273,Diagnostic Test,99mTc-DPD scintigraphy,Reference method,Native T1 CMR,
NCT04862273,Diagnostic Test,Laboratory screening for multiple myeloma / AL amyloidosis,Reference method,Native T1 CMR,
NCT04862273,Procedure,Cardiac biopsy,"If non-invasive tests for CA (99mTc-DPD scintigraphy, biochemistry) are inconclusive",Native T1 CMR,
NCT06927973,Diagnostic Test,Echocardiogram,Ultrasound,Enrolled subjects undergoing clinical stress echocardiogram,
NCT06937827,Behavioral,HF Kit and Follow-ups,"These patients will receive TOCC intervention, which includes: pre-discharge introduction to the program; watching educational videos about heart failure via Mytonomy; receiving the American Heart Association's ""Get With The Guidelines"" (GWTG) booklet and a heart failure (HF) kit. These patients will receive a follow-up phone call days 1 to 3 days post discharge from the pharmacist and nurse practitioner to review discharge instructions, provide medication education, and assess clinical status; a second follow-up call will be conducted days 21 to 24 post discharge. The HF tool kits will provide these patients with the essential tools, resources, and log sheets for self-management such as monitoring daily weights, monitoring blood pressure and heart rate",Active Cohort - Heart Failure (HF) Kit,
NCT04788576,Diagnostic Test,"Invasive physiologic evaluation (fractional flow reserve, coronary flow reserve, index of microcirculatory resistance)","In case of heart failure with preserved ejection fraction confirmed by HFA-PEFF scoring system without functionally significant coronary artery disease, coronary angiography with invasive physiologic evaluation including fractional flow reserve, coronary flow reserve, and index of microcirculatory resistance will be performed to evaluate the distribution and clinical implication of coronary microvascular dysfunction.",Patients with heart failure with preserved ejection fraction (HFpEF),
NCT06388226,Device,Leg heat therapy,A sous vide heating immersion circulator heats up the water inside the water tank to 42oC. A water pump circulates temperature-regulated water through the trousers.,Heat therapy,
NCT06388226,Device,Leg sham therapy,A sous vide heating immersion circulator heats up the water inside the water tank to 33oC. A water pump circulates temperature-regulated water through the trousers.,Sham control,
NCT06405126,Diagnostic Test,Optiek predictive model,"Patient data will be extracted to run the predictive model, which will estimate the probability of group 2 pulmonary hypertension. However the results of the model will have no diagnostic or therapeutic implications in this phase of the investigation.",,
NCT07057466,Other,Traditional 12-lead Electrocardiogram,"12-lead ECG investigation is a standard, non-invasive diagnostic procedure used as an intervention to assess participants' cardiac electrical activity. For the purposes of this study, 12-lead ECGs will be collected for the application of AI-ECG models for the detection of HF, VHD, and/or PH and will not be used to inform or alter patients' standard NHS care.","Echocardiography cohort, N-terminal pro B-type natriuretic peptide subgroup",
NCT07057466,Other,Apple Watch Series 4 Single-lead Electrocardiogram,"Single-lead ECG taken using an Apple Watch Series 4 is a non-invasive, participant-initiated recording of cardiac electrical activity through a wearable device. While more limited than a 12-lead ECG, it can capture rhythm abnormalities-such as atrial fibrillation-and offers a convenient method for remote or continuous heart monitoring during the study. For the purposes of this study, single-lead ECGs will be collected for the application of AI-ECG models for the detection of HF, VHD, and/or PH and will not be used to inform or alter patients' standard NHS care.","Echocardiography cohort, N-terminal pro B-type natriuretic peptide subgroup",
NCT07057466,Other,Eko Core 500 Digital Stethoscope 3-lead Electrocardiogram,"Three-lead ECG recorded using the Eko CORE 500 digital stethoscope is a non-invasive, clinician-operated cardiac assessment tool that captures real-time electrical activity of the heart during auscultation. It provides enhanced diagnostic information compared to single-lead recordings, allowing detection of arrhythmias and signs of structural heart disease at the point of care, supporting integrated clinical and digital assessment. For the purposes of this study, 3-lead ECGs will be collected for the application of AI-ECG models for the detection of HF, VHD, and/or PH and will not be used to inform or alter patients' standard NHS care.","Echocardiography cohort, N-terminal pro B-type natriuretic peptide subgroup",
NCT07057466,Other,AliveCor KardiaMobile Single- and 6-lead Electrocardiogram,"A single- or 6-lead ECG recorded using the AliveCor KardiaMobile 6L device which is a portable, non-invasive method for capturing cardiac electrical activity. Operated by the participant or clinician, the device enables rapid rhythm assessment and detection of abnormalities such as atrial fibrillation. The 6-lead configuration offers more comprehensive data than single-lead recordings, supporting enhanced arrhythmia and conduction analysis in both in-clinic and remote settings. For the purposes of this study, single- and 6-lead ECGs will be collected for the application of AI-ECG models for the detection of HF, VHD, and/or PH and will not be used to inform or alter patients' standard NHS care.","Echocardiography cohort, N-terminal pro B-type natriuretic peptide subgroup",
NCT07057466,Other,Phlebotomy for N-terminal pro-B-type natriuretic peptide,"A minimally invasive biomarker assessment used to evaluate cardiac wall stress and function. Elevated levels can indicate the presence or severity of heart failure and other forms of structural heart disease, making it a valuable tool for diagnosis, risk stratification, and monitoring of cardiac status throughout the study period. For the purposes of this study, NT-proBNP will be collected to assess its accuracy at detecting HF, PH, and VHD with comparison with AI-ECG detections. The investigators will also evaluate the accuracy of AI-ECG detections combined with NT-pro-BNP, for detecting HF, VHD, and PH. The investigators will not be using NT-proBNP results to inform or alter patients' standard NHS care.",N-terminal pro B-type natriuretic peptide subgroup,
NCT02459626,Other,Diagnostic P-V-loops and MRI,Invasive assessment of P-V-loops during catheterization for suspected CAD Magnetic resonance Imaging for assessment of myocardial fibrosis and biventricular function,"HFpEF and servere diastolic dysfuntion, HFpEF no servere diastolic dysfuntion, No HF or diastolic dysfunction",
NCT04154657,Procedure,conductance catheter measurement,"biventricular parallel conductance catheter measurement at rest and stress conditions, + CMR at rest and stress",biventricular conductance catheter,pressure volume loop catheter measurement
NCT05278026,Other,guideline recommended routine treatment,,"HFpEF, HFrEF, nonfailing control",
NCT03338374,Device,Biventricular pacemaker,"All subjects will receive a biventricular pacemaker at implantation. Programming will initially be to dual-chamber, dual-function rate-responsive pacing for 12 weeks; following reassessment, device will be reprogrammed to biventricular pacing for a further 12 weeks. Optional study extension: if incremental benefit is shown for biventricular pacing above dual chamber, the mechanism will be sought using echocardiographic evidence and the devices will be optimised according to this mechanism of action to see whether further benefit can be achieved.",Biventricular Pacemaker,Rate responsive pacing
NCT06616974,Drug,TX000045- Dose A,The participants will receive a subcutaneous injection of Dose A of TX000045 every 2 weeks for 24 weeks.,TX000045 Dose A,
NCT06616974,Drug,TX000045- Dose B,The participants will receive subcutaneous injection of Dose B of TX000045 every 4 weeks for 24 weeks where they will alternate between TX000045 and placebo every 2 weeks.,TX000045 Dose B,
NCT06616974,Drug,Placebo,The participants will receive a subcutaneous injection of placebo every 2 weeks for 24 weeks.,Placebo,
